ID,Name,"Plant Type","FarmOS TID","FarmOS ID",Description,"Scientific Name","Maturity Days","Transplant Days","Harvest Days","Seeding to Transplant Days","Transplant to Harvest Days","Row Spacing (inches)","Plant Spacing (inches)","Beds Per 100ft","Seed Depth (inches)","Min Germination Temp (F)","Min Growing Temp (F)","Max Growing Temp (F)","Frost Hardy","Created At","Updated At"
2937,Asparagus,,1600,df95450b-3750-41c9-b6f8-2b2088ccf985,"Main crop category for Asparagus",,90,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2923,Aubergine,,47,0770c533-3449-484f-a1ba-c7803cadf095,"Warm season fruit vegetable requiring protection

Scientific name: Solanum melongena
Family: Solanaceae
Season: Warm
Growing days: 70-100
Temperature range: 18°C - 30°C",,60,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2934,Beetroot,,68,dfca3bdf-dcc1-4d1a-add5-7dc666a0515a,"Cool season root vegetable

Scientific name: Beta vulgaris
Family: Chenopodiaceae
Season: Cool
Growing days: 55-70
Temperature range: 7°C - 24°C",,55,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2926,"Broad Beans",,52,3ca90e82-d9e8-49e2-93dd-d7f9d9274f0d,"

Original Name: Broad Beans
Variety Code: 
Crop Type: french beans
Days to Maturity: 730
Days to Transplant: 21
Direct Sow: No
Succession Interval: 21 days",,730,730,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2914,Broccoli,,31,4f4dc456-3ec7-4c12-8a7c-8f0b05906080,"Cool season vegetable with dense flower heads

Scientific name: Brassica oleracea var. italica
Family: Brassicaceae
Season: Cool
Growing days: 60-90
Temperature range: 7°C - 18°C",,70,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2917,"Brussels Sprouts",,35,756ddb07-d9d6-482f-8763-9183787c23e5,"Cool season vegetable with small cabbage-like buds

Scientific name: Brassica oleracea var. gemmifera
Family: Brassicaceae
Season: Cool
Growing days: 90-120
Temperature range: 4°C - 18°C",,90,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2930,"Butternut Squash",,59,f6709309-5934-4eaa-8585-c04b7d444a4e,"Warm season winter squash

Scientific name: Cucurbita moschata
Family: Cucurbitaceae
Season: Warm
Growing days: 100-120
Temperature range: 18°C - 28°C",,110,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2915,Cabbage,,32,5a4c99c1-f9bd-4622-8c18-bf9efac70fae,"Cool season leafy vegetable forming dense heads

Scientific name: Brassica oleracea var. capitata
Family: Brassicaceae
Season: Cool
Growing days: 70-100
Temperature range: 4°C - 21°C",,75,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2931,Carrot,,61,b488db7e-4c87-4dfe-bdf7-53c34425e05b,"Cool season root vegetable

Scientific name: Daucus carota
Family: Apiaceae
Season: Cool
Growing days: 70-80
Temperature range: 7°C - 24°C",,75,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2916,Cauliflower,,33,5368a34d-9e98-4143-8f10-3a1c5ff19d24,"Cool season vegetable with white flower heads

Scientific name: Brassica oleracea var. botrytis
Family: Brassicaceae
Season: Cool
Growing days: 55-100
Temperature range: 4°C - 18°C",,80,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2939,Celeriac,,1839,8c254fd2-3641-45b2-812c-8480e70c8557,"Main crop category for Celeriac",,120,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
2932,Celery,,62,a2619d12-7f3a-4f32-8d58-fc9de76abdd0,"Cool season stalk vegetable requiring moisture

Scientific name: Apium graveolens
Family: Apiaceae
Season: Cool
Growing days: 85-120
Temperature range: 10°C - 21°C",,85,,,,,,,,,,,,,"2025-10-06 01:21:57","2025-11-13 02:07:36"
